laureate_id,laureate_name,prize_year,title,pub_year,paper_id,target_doi,journal,affiliation,is_prize_winning,field
30001,"ohsumi, y",2016,isolation and characterization of autophagy defective mutants of saccharomyces cerevisiae,1993,2011580247,10.1016/0014-5793(93)80398-E,febs letters,tokyo institute of technology,YES,medicine
30001,"ohsumi, y",2016,autophagy in yeast demonstrated with proteinase deficient mutants and conditions for its induction,1992,2126801593,10.1083/jcb.119.2.301,journal of cell biology,tokyo institute of technology,YES,medicine
30003,"omura, s",2015,avermectins new family of potent anthelmintic agents producing organism and fermentation,1979,2082909688,10.1128/AAC.15.3.361,antimicrobial agents and chemotherapy,,YES,medicine
30004,"campbell, wc",2015,avermectins new family of potent anthelmintic agents efficacy of the b1a component,1979,2112130390,10.1128/AAC.15.3.372,antimicrobial agents and chemotherapy,,YES,medicine
30005,"moser, ei",2014,microstructure of a spatial map in the entorhinal cortex,2005,1970792572,10.1038/nature03721,nature,norwegian university of science and technology,YES,medicine
30006,"okeefe, j",2014,the hippocampus as a spatial map preliminary evidence from unit activity in the freely moving rat,1971,2052515926,10.1016/0006-8993(71)90358-1,brain research,university college london,YES,medicine
30007,"moser, mb",2014,microstructure of a spatial map in the entorhinal cortex,2005,1970792572,10.1038/nature03721,nature,,YES,medicine
30008,"sudhof, tc",2013,phospholipid binding by a synaptic vesicle protein homologous to the regulatory region of protein kinase c,1990,1967817609,10.1038/345260a0,nature,stanford university,YES,medicine
30008,"sudhof, tc",2013,synaptotagmin a calcium sensor on the synaptic vesicle surface,1992,1976283234,10.1126/science.1589771,science,stanford university,YES,medicine
30008,"sudhof, tc",2013,botulinum neurotoxin a selectively cleaves the synaptic protein snap 25,1993,2007982098,10.1038/365160a0,nature,stanford university,YES,medicine
30008,"sudhof, tc",2013,synaptotagmin i a major ca2 sensor for transmitter release at a central synapse,1994,2165302477,10.1016/0092-8674(94)90556-8,cell,stanford university,YES,medicine
30009,"schekman, r",2013,identification of 23 complementation groups required for post translational events in the yeast secretory pathway,1980,2059775037,10.1016/0092-8674(80)90128-2,cell,,YES,medicine
30009,"schekman, r",2013,secretion and cell surface growth are blocked in a temperature sensitive mutant of saccharomyces cerevisiae,1979,1966446749,10.1073/pnas.76.4.1858,proceedings of the national academy of sciences of the united states of america,,YES,medicine
30010,"rothman, je",2013,a protein assembly disassembly pathway in vitro that may correspond to sequential steps of synaptic vesicle docking activation and fusion,1993,1971016259,10.1016/0092-8674(93)90376-2,cell,yale university,YES,medicine
30010,"rothman, je",2013,visualizing secretion and synaptic transmission with ph sensitive green fluorescent proteins,1998,2016166286,10.1038/28190,nature,yale university,YES,medicine
30010,"rothman, je",2013,snarepins minimal machinery for membrane fusion,1998,2027775552,10.1016/S0092-8674(00)81404-X,cell,yale university,YES,medicine
30010,"rothman, je",2013,snap receptors implicated in vesicle targeting and fusion,1993,2085680244,10.1038/362318a0,nature,yale university,YES,medicine
30011,"yamanaka, s",2012,induction of pluripotent stem cells from mouse embryonic and adult fibroblast cultures by defined factors,2006,2125987139,10.1016/j.cell.2006.07.024,cell,kyoto university,YES,medicine
30011,"yamanaka, s",2012,induction of pluripotent stem cells from adult human fibroblasts by defined factors,2007,2138977668,10.1016/j.cell.2007.11.019,cell,kyoto university,YES,medicine
30012,"gurdon, jb",2012,adult frogs derived from the nuclei of single somatic cells,1962,2094753906,10.1016/0012-1606(62)90043-X,developmental biology,university of cambridge,YES,medicine
30013,"steinman, rm",2011,identification of a novel cell type in peripheral lymphoid organs of mice i morphology quantitation tissue distribution,1973,2145049340,10.1084/jem.137.5.1142,journal of experimental medicine,rockefeller university,YES,medicine
30014,"hoffmann, ja",2011,the dorsoventral regulatory gene cassette spatzle toll cactus controls the potent antifungal response in drosophila adults,1996,2137590150,10.1016/S0092-8674(00)80172-5,cell,centre national de la recherche scientifique,YES,medicine
30015,"beutler, b",2011,defective lps signaling in c3h hej and c57bl 10sccr mice mutations in tlr4 gene,1998,2129319296,10.1126/science.282.5396.2085,science,,YES,medicine
30016,"edwards, rg",2010,birth after the reimplantation of a human embryo,1978,2069463805,10.1016/S0140-6736(78)92957-4,the lancet,university of cambridge,YES,medicine
30017,"szostak, jw",2009,cloning yeast telomeres on linear plasmid vectors,1982,1977437036,10.1016/0092-8674(82)90109-X,cell,harvard university,YES,medicine
